Date,Date_YMD,Status,Total,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Ladakh,Only_State
14-Mar-20,14-03-2020,Confirmed,81,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0,0,Andaman and Nicobar Islands
15-Mar-20,15-03-2020,Confirmed,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,Andhra Pradesh
16-Mar-20,16-03-2020,Confirmed,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,6,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,Arunachal Pradesh
17-Mar-20,17-03-2020,Confirmed,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,Assam
18-Mar-20,18-03-2020,Confirmed,37,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,5,0,0,0,3,0,0,0,0,1,0,1,3,0,1,8,0,2,1,0,0,Bihar
19-Mar-20,19-03-2020,Confirmed,27,0,2,0,0,0,1,1,0,0,4,0,2,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,2,0,1,3,0,3,1,0,0,Chandigarh
20-Mar-20,20-03-2020,Confirmed,58,0,0,0,0,0,4,0,0,0,6,0,5,2,2,0,0,0,12,0,4,4,0,0,0,0,0,0,1,8,0,0,3,0,4,0,1,0,Chhattisgarh
21-Mar-20,21-03-2020,Confirmed,78,0,2,0,0,0,0,0,0,0,7,0,7,2,0,0,0,5,12,0,0,12,0,0,0,0,0,0,10,7,0,3,2,0,4,0,2,0,Dadra and Nagar Haveli
22-Mar-20,22-03-2020,Confirmed,67,0,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,6,15,0,2,10,0,0,0,0,0,0,8,4,0,3,6,0,2,0,3,0,Daman and Diu
23-Mar-20,23-03-2020,Confirmed,102,0,1,0,0,1,1,0,0,0,3,0,12,7,1,0,0,7,28,0,0,23,0,0,0,0,0,0,2,4,0,3,6,0,2,1,0,0,Delhi
24-Mar-20,24-03-2020,Confirmed,64,0,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,8,14,0,1,10,1,0,0,0,0,0,6,0,0,6,4,0,3,0,2,0,Goa
25-Mar-20,25-03-2020,Confirmed,90,0,2,0,0,1,0,2,0,0,5,3,4,1,0,5,0,10,9,0,8,15,0,0,1,0,0,0,2,6,0,8,4,0,3,1,0,0,Gujarat
26-Mar-20,26-03-2020,Confirmed,65,1,1,0,0,3,0,3,0,0,1,0,5,1,0,3,0,4,19,0,5,3,0,0,0,0,1,0,2,2,0,3,3,0,4,0,1,0,Haryana
27-Mar-20,27-03-2020,Confirmed,164,5,2,0,0,2,1,0,0,0,4,0,4,1,0,6,0,9,39,0,9,31,0,0,0,0,0,0,5,10,0,9,15,0,7,0,5,0,Himachal Pradesh
28-Mar-20,28-03-2020,Confirmed,143,3,6,0,0,2,0,1,0,0,9,0,8,2,0,13,0,17,6,0,10,30,0,0,0,0,0,0,0,4,0,4,8,0,16,1,3,0,Jammu & Kashmir
29-Mar-20,29-03-2020,Confirmed,110,0,2,0,0,4,0,0,0,0,23,2,8,0,0,5,0,2,20,0,0,17,0,0,0,0,0,0,0,5,0,8,3,0,7,1,3,0,Jharkhand
30-Mar-20,30-03-2020,Confirmed,187,1,2,0,0,0,5,1,0,0,25,0,7,1,0,11,0,5,32,0,8,17,0,0,0,0,0,0,3,20,0,17,7,0,24,0,1,0,Karnataka
31-Mar-20,31-03-2020,Confirmed,309,0,21,0,1,6,2,1,0,0,23,0,4,7,0,6,1,13,7,0,19,82,0,0,0,0,1,0,1,14,0,57,20,0,8,0,15,0,Kerala
01-Apr-20,01-04-2020,Confirmed,424,0,67,0,15,3,2,0,0,0,32,0,13,0,0,7,0,9,24,0,32,33,0,0,0,0,1,2,4,27,0,110,30,0,13,0,0,0,Lakshadweep
02-Apr-20,02-04-2020,Confirmed,486,0,38,1,0,5,1,0,0,0,141,0,1,6,3,8,1,14,21,0,9,88,1,0,0,0,0,2,1,13,0,75,27,0,11,3,16,0,Madhya Pradesh
03-Apr-20,03-04-2020,Confirmed,560,0,15,0,7,2,0,0,0,0,93,1,7,9,0,5,0,4,9,0,47,64,0,0,0,0,15,0,6,46,0,102,75,0,46,6,0,0,Maharashtra
04-Apr-20,04-04-2020,Confirmed,579,0,28,0,3,1,0,1,0,0,59,1,13,26,7,17,0,16,11,0,25,148,0,0,0,0,1,0,12,27,0,74,43,0,60,6,0,0,Manipur
05-Apr-20,05-04-2020,Confirmed,609,0,64,0,0,0,0,0,0,0,58,0,20,6,1,14,1,7,8,0,14,112,0,0,0,0,18,0,3,60,0,86,62,0,44,4,27,0,Meghalaya
06-Apr-20,06-04-2020,Confirmed,484,0,47,0,0,0,0,0,0,0,22,0,18,20,4,3,1,12,13,0,63,121,0,0,0,0,1,0,11,35,0,50,30,1,27,5,0,0,Mizoram
07-Apr-20,07-04-2020,Confirmed,573,0,11,0,2,6,0,0,0,0,51,0,29,33,9,16,0,12,9,0,34,150,0,0,0,0,2,0,20,42,0,69,40,0,27,0,11,0,Nagaland
08-Apr-20,08-04-2020,Confirmed,565,1,34,0,0,1,0,0,0,0,93,0,11,24,0,33,0,6,9,0,51,117,0,0,0,0,0,0,7,40,0,48,49,0,29,4,8,0,Odisha
09-Apr-20,09-04-2020,Confirmed,813,0,15,0,1,19,0,8,0,0,51,0,76,3,1,26,9,16,12,0,70,229,0,0,0,0,6,0,24,80,0,96,18,0,49,0,4,0,Puducherry
10-Apr-20,10-04-2020,Confirmed,871,0,18,0,0,2,1,0,0,0,183,0,116,6,0,23,1,10,7,0,40,210,0,0,0,0,2,2,21,98,0,77,16,1,23,0,13,0,Punjab
11-Apr-20,11-04-2020,Confirmed,854,0,24,0,0,4,0,7,0,0,166,0,90,3,4,17,3,8,10,0,78,187,0,0,0,0,4,0,7,139,0,58,16,0,19,0,10,0,Rajasthan
12-Apr-20,12-04-2020,Confirmed,758,0,15,0,1,0,2,6,0,0,85,0,48,16,0,21,2,17,2,0,33,221,0,0,0,0,0,0,12,104,0,106,28,0,31,0,8,0,Sikkim
13-Apr-20,13-04-2020,Confirmed,1243,0,19,0,2,2,0,0,0,0,356,0,56,1,0,25,5,15,3,0,52,352,0,1,0,0,1,0,6,93,0,98,61,0,75,0,18,0,Tamil Nadu
14-Apr-20,14-04-2020,Confirmed,1031,0,45,0,1,0,0,2,0,0,51,0,78,2,1,8,3,13,8,0,127,346,0,0,0,0,5,0,8,108,0,31,52,0,102,2,38,0,Telangana
15-Apr-20,15-04-2020,Confirmed,886,0,41,0,0,6,0,0,0,0,17,0,116,6,2,22,1,19,1,0,197,236,0,6,0,0,0,0,2,71,0,38,6,0,75,0,23,0,Tripura
16-Apr-20,16-04-2020,Confirmed,1061,0,9,0,2,11,0,3,0,0,62,0,163,11,0,14,1,36,7,0,226,285,0,2,0,0,0,0,11,55,0,25,50,0,70,0,18,0,Uttar Pradesh
17-Apr-20,17-04-2020,Confirmed,922,1,38,0,0,2,0,0,0,0,67,0,170,8,3,14,3,44,1,0,146,120,0,0,0,0,0,0,14,98,0,56,66,0,44,3,24,0,Uttarakhand
18-Apr-20,18-04-2020,Confirmed,1371,2,31,0,0,1,2,0,0,0,186,0,277,9,1,13,1,25,4,0,92,327,0,2,0,0,1,0,23,122,0,49,43,0,126,2,32,0,West Bengal
19-Apr-20,19-04-2020,Confirmed,1580,1,44,0,0,10,3,0,0,0,110,0,367,18,0,13,8,6,2,0,5,552,0,0,0,0,0,0,10,127,0,105,49,0,125,2,23,0,Ladakh
20-Apr-20,20-04-2020,Confirmed,1239,1,75,0,0,17,0,0,0,0,78,0,196,1,0,14,5,18,6,0,78,466,0,0,0,0,13,0,1,98,0,43,14,0,84,2,29,0,
21-Apr-20,21-04-2020,Confirmed,1537,1,35,0,0,13,1,0,0,0,75,0,239,4,0,12,0,10,19,0,67,552,0,1,0,0,5,0,6,159,0,76,56,0,153,0,53,0,
22-Apr-20,22-04-2020,Confirmed,1292,1,56,0,0,17,0,0,0,0,92,0,229,9,0,27,0,9,11,0,35,431,0,0,0,0,4,0,27,153,0,33,15,0,112,0,31,0,
23-Apr-20,23-04-2020,Confirmed,1667,4,80,0,1,27,0,0,0,0,128,0,217,6,1,27,7,18,10,0,100,778,0,0,0,0,6,0,5,76,0,54,27,0,61,1,33,0,
24-Apr-20,24-04-2020,Confirmed,1408,7,62,0,0,53,0,0,0,0,138,0,191,5,0,20,6,29,3,0,159,390,0,0,0,0,5,0,15,70,0,72,13,0,111,1,58,0,
25-Apr-20,25-04-2020,Confirmed,1835,4,61,0,0,28,1,1,0,0,111,0,256,12,0,40,8,26,7,0,99,811,0,0,0,0,6,1,10,49,0,66,7,0,172,0,57,0,
26-Apr-20,26-04-2020,Confirmed,1607,0,81,0,0,26,8,0,0,0,293,0,230,9,0,29,15,3,11,0,145,440,0,0,0,0,3,0,14,102,0,64,11,0,80,3,40,0,
27-Apr-20,27-04-2020,Confirmed,1568,0,80,0,0,69,9,0,0,0,190,0,247,5,0,23,21,9,13,0,75,522,0,0,0,0,15,0,8,77,0,52,2,0,113,0,38,0,
28-Apr-20,28-04-2020,Confirmed,1902,0,82,0,2,20,11,1,0,0,206,0,226,7,0,19,2,11,4,0,222,728,0,0,0,0,0,0,12,102,0,121,6,0,67,3,48,0,
29-Apr-20,29-04-2020,Confirmed,1705,0,73,0,0,37,12,0,0,0,125,0,308,3,0,16,2,12,10,0,173,597,0,0,0,0,7,0,33,76,0,104,7,0,81,1,28,0,
30-Apr-20,30-04-2020,Confirmed,1802,0,71,0,5,22,6,2,0,0,76,0,313,28,0,33,3,30,2,0,65,583,0,0,0,0,18,0,105,144,0,161,22,1,77,2,33,0,
01-May-20,01-05-2020,Confirmed,2396,0,60,0,0,41,14,3,0,0,223,0,326,18,0,25,3,24,0,0,90,1008,0,0,0,0,11,0,105,82,0,203,6,0,117,0,37,0,
02-May-20,02-05-2020,Confirmed,2564,0,62,0,0,15,6,0,0,0,384,0,333,19,0,27,2,12,2,0,73,790,0,0,0,0,6,1,187,106,0,231,17,2,159,2,127,0,
03-May-20,03-05-2020,Confirmed,2952,0,58,0,0,36,3,14,0,0,427,0,374,66,0,35,0,13,0,0,49,678,0,0,0,0,2,0,330,114,0,266,21,12,158,1,276,0,
04-May-20,04-05-2020,Confirmed,3656,0,67,0,0,11,5,1,0,0,349,0,376,75,1,25,0,37,0,0,105,1567,0,0,0,0,7,0,130,175,0,527,3,13,121,0,61,0,
05-May-20,05-05-2020,Confirmed,2971,0,67,0,2,7,17,1,1,0,206,0,441,31,1,15,10,22,3,0,107,984,0,0,0,0,8,0,219,97,0,508,11,13,114,1,85,0,
06-May-20,06-05-2020,Confirmed,3602,0,60,0,1,7,5,0,0,0,428,0,380,46,1,34,2,20,0,0,89,1233,0,0,0,0,28,0,75,159,0,771,11,22,118,0,112,0,
07-May-20,07-05-2020,Confirmed,3344,0,56,0,8,8,11,0,0,0,448,0,388,31,3,18,5,12,0,0,114,1216,0,0,0,0,14,0,118,110,0,580,15,24,73,0,92,0,
08-May-20,08-05-2020,Confirmed,3339,0,54,0,6,29,11,0,0,0,338,0,390,22,4,30,22,48,1,0,89,1089,0,0,0,0,51,1,87,152,0,600,10,30,143,2,130,0,
09-May-20,09-05-2020,Confirmed,3175,0,43,0,2,32,23,0,0,0,224,0,394,28,2,13,2,41,2,0,116,1165,0,1,0,0,82,0,31,129,0,526,31,17,159,4,108,0,
10-May-20,10-05-2020,Confirmed,4311,0,50,0,1,96,4,0,0,0,381,0,398,28,6,25,1,54,7,0,157,1943,0,0,0,0,25,2,61,106,0,669,33,16,94,1,153,0,
11-May-20,11-05-2020,Confirmed,3592,0,38,0,2,42,8,0,0,0,310,0,347,27,1,18,4,14,7,0,171,1230,0,0,0,0,38,0,54,174,0,798,79,0,106,0,124,0,
12-May-20,12-05-2020,Confirmed,3562,0,71,0,0,130,6,0,0,0,406,0,362,50,8,55,11,63,5,0,201,1026,0,0,0,0,22,0,37,138,0,716,51,2,91,1,110,0,
13-May-20,13-05-2020,Confirmed,3726,0,48,0,15,74,4,0,0,0,359,0,364,13,1,37,5,34,10,0,187,1495,0,0,0,0,101,1,10,202,0,509,41,1,94,3,117,0,
14-May-20,14-05-2020,Confirmed,3991,0,68,0,7,46,0,1,0,0,472,8,324,25,6,12,26,28,26,0,253,1602,1,0,0,0,134,3,11,206,0,447,47,1,144,6,87,0,
15-May-20,15-05-2020,Confirmed,3808,0,102,0,3,34,0,6,0,0,425,0,340,36,2,30,8,69,16,0,169,1576,0,0,0,0,65,0,-3,213,0,434,40,0,155,4,84,0,
16-May-20,16-05-2020,Confirmed,4794,0,48,0,3,145,0,1,0,0,438,5,1057,33,2,108,6,36,11,0,195,1606,4,0,0,0,0,1,14,213,0,477,55,11,201,9,115,0,
17-May-20,17-05-2020,Confirmed,5049,0,25,0,8,142,0,18,0,0,422,9,391,23,2,62,6,55,14,0,187,2347,0,0,0,0,91,0,18,242,0,639,42,-2,206,1,101,0,
18-May-20,18-05-2020,Confirmed,4628,0,52,0,15,103,5,10,0,0,299,9,366,18,10,106,5,99,29,0,259,2005,0,0,0,0,48,0,16,305,0,536,41,0,141,4,147,0,
19-May-20,19-05-2020,Confirmed,6154,0,57,0,42,96,3,5,0,0,500,8,395,36,2,28,20,149,12,0,229,2078,2,0,0,0,102,5,22,338,0,688,42,8,321,15,137,814,
20-May-20,20-05-2020,Confirmed,5720,0,71,0,31,257,3,14,0,0,534,4,398,29,18,73,42,67,24,0,270,2161,16,1,0,0,74,1,3,170,0,743,27,0,249,15,142,282,
21-May-20,21-05-2020,Confirmed,6023,0,45,0,22,211,16,14,0,0,571,2,371,37,42,59,13,143,24,0,246,2345,0,0,0,0,51,0,23,212,0,776,38,2,340,19,94,307,
22-May-20,22-05-2020,Confirmed,6536,0,62,0,15,179,1,44,0,0,660,2,363,37,16,40,20,138,42,0,189,2940,1,0,0,0,86,3,1,267,0,786,62,0,220,8,135,217,
23-May-20,23-05-2020,Confirmed,6665,0,47,0,121,228,6,42,1,0,591,1,396,64,17,80,27,216,62,0,201,2608,3,0,0,0,80,0,16,248,1,759,52,16,282,91,127,279,
24-May-20,24-05-2020,Confirmed,7111,0,66,1,46,180,37,38,0,0,508,11,394,53,18,52,20,130,53,0,294,3041,3,0,0,0,67,15,15,286,0,765,41,3,251,73,208,439,
25-May-20,25-05-2020,Confirmed,6414,0,106,0,156,163,4,40,0,0,635,1,405,29,20,47,35,93,49,0,194,2436,4,1,0,3,102,8,21,272,0,805,66,4,229,32,149,304,
26-May-20,26-05-2020,Confirmed,5907,0,97,0,134,231,12,68,0,0,412,0,361,92,24,91,21,101,67,0,165,2091,3,5,0,1,79,0,25,236,0,646,112,34,227,51,193,328,
27-May-20,27-05-2020,Confirmed,7246,0,134,0,101,68,1,4,0,0,792,1,376,76,26,162,7,135,40,0,237,2190,5,0,0,5,76,0,33,280,0,817,107,10,267,69,183,1043,
28-May-20,28-05-2020,Confirmed,7254,0,128,1,97,149,10,34,0,0,1024,1,367,123,8,115,6,115,85,0,192,2598,11,1,0,9,67,4,19,251,0,827,117,2,179,31,344,319,
